test_id,activity,type,acc_avg,x_avg,y_avg,z_avg,acc_std,x_std,y_std,z_std,acc_max,x_max,y_max,z_max,acc_min,x_min,y_min,z_min,jerk_avg,jerk_x_avg,jerk_y_avg,jerk_z_avg,jerk_std,jerk_x_std,jerk_y_std,jerk_z_std,jerk_max,jerk_x_max,jerk_y_max,jerk_z_max,jerk_min,jerk_x_min,jerk_y_min,jerk_z_min,fall
0,standing_up,ADL,9.5524427429,3.2667303798,5.63022551378,-4.80767882755,2.34212003585,4.15826773998,2.81348551179,2.56092625347,22.2385297818,9.658671495,17.14107535,-0.855451711,5.26300637595,-1.7621356,0.592537761,-10.75727821,-0.0113703157645,0.20344758768,-0.11163100728,0.11848645212,2.63936404567,1.91380176528,1.99548772381,1.47907938252,6.95074984609,8.054477404,5.30990917,6.570452986,-13.5683394678,-5.124948984,-10.748144754,-6.744196396,0
1,standing_up,ADL,9.52124402479,3.62932665459,5.54174367498,-3.8805941481,2.29161259934,3.69158690079,4.33993659556,2.26605594735,19.9824664722,9.311694154,17.65589852,0.171427733,6.26108407085,-2.137098367,-1.829754623,-7.659411228,0.000460386281507,-0.19959891252,0.15879546072,-0.11079289544,1.85192403808,0.706276361987,1.9495489957,0.889184258632,6.06249897996,2.144653122,4.97808285,2.619033679,-6.73815886936,-1.957341071,-6.749622109,-2.905809703,0
2,standing_up,ADL,9.60843885554,3.36253180688,5.86140806261,-4.77848737086,2.19224181207,4.06163348216,2.88160086767,2.07542133995,21.561686463,8.915839747,16.69141826,-1.226616813,5.95677828765,-1.41665878,0.053922522,-11.95934455,-0.0147435036583,0.19864645236,-0.13657633332,0.10576602266,2.45354080251,1.98827788498,1.93258798514,1.3683050609,10.3016824396,7.597697754,8.046484152,6.683350783,-7.90893164826,-8.792148918,-7.475692385,-4.816929933,0
3,standing_up,ADL,9.57524345442,2.99516972312,5.62987375053,-5.48213744122,1.48573007627,3.74953538409,2.36355101553,1.98651447347,16.0541726317,9.102086974,13.64748209,-1.917205733,7.88479459274,-1.738462358,0.230686219,-10.24324375,-0.0240887891307,0.21681098664,-0.14056776272,0.10878864316,1.29494576803,0.726710959847,1.23775988839,0.785316552784,5.38261114348,4.066376863,4.291688875,2.777492694,-6.32332993456,-1.232508726,-6.39072835,-3.226948918,0
4,standing_up,ADL,9.54862278186,-2.2964042702,4.8753063611,-6.40247940645,2.01880745695,3.85927206817,1.85457365575,2.70321593605,18.2256395337,2.330284822,10.86998669,-0.86448664,6.74511814069,-11.71465246,1.603162959,-14.50946308,0.0449495434611,-0.28089874564,-0.07094237574,0.13365565936,1.83183522854,0.884009691762,0.979603143364,1.841951974,6.86723789485,1.965192045,3.429154937,10.635331578,-9.24262681921,-3.454177661,-3.480219501,-5.9866555,0
5,standing_up,ADL,9.62364778901,-3.00323500673,4.41666502953,-6.36514597382,2.16875726956,3.85966547728,2.36090457353,2.87702039665,22.4267856003,4.086182625,13.07482833,-1.574858652,7.6461811151,-9.311237,-0.332140362,-18.22089502,0.000904385516749,-0.20451110984,-0.10210373834,0.12881306098,2.25539025704,0.965814318285,1.27080320965,2.32417003064,9.16302506178,1.310152887,6.034788341,11.024236563,-9.6376052728,-4.178709234,-3.325176819,-7.74863203,0
6,standing_up,ADL,9.55126688982,-3.6046153892,4.79795015135,-6.01687980849,1.51728883112,3.46551385128,2.2536652162,2.14565995094,16.2180375981,0.23204185,10.1844179,-2.251146515,7.9514718952,-9.216878904,-0.741815657,-12.70103658,-0.0136463771241,-0.14098078806,-0.1137378736,0.09137706764,1.06899365039,0.985063234184,0.694947529544,0.999874421285,4.03935959053,2.509369314,2.423878677,5.067296121,-2.97909096884,-4.521883726,-1.898550486,-3.075572204,0
7,getting_up,ADL,9.86882405937,3.19820397041,7.4075036959,-1.02250433267,2.85734015133,4.6267370434,3.9507614748,1.73859295854,20.2908657794,15.23539135,19.19786018,2.568717647,6.47957232222,-3.275823891,1.034838463,-3.787584026,-0.0487080867614,0.17652112286,-0.11105826084,0.05786130234,1.83726886512,1.63110754968,1.93459034575,1.21274126505,5.4439271078,5.365750498,5.31507757,3.566836722,-6.72266400768,-3.89690257,-6.094739184,-3.276533072,0
8,getting_up,ADL,10.1667994185,3.86616450025,7.25192420625,-3.30992622033,1.98324244159,4.34422859652,2.66162933468,1.82883440658,15.3666208976,9.611043666,12.60964417,-0.34000581,7.18895399441,-4.246156967,1.518670567,-7.099020832,0.0257830517312,-0.24822357194,0.1067029347,-0.03318323094,1.03733459676,0.985373819228,0.921024613064,0.579037232636,2.87227186801,1.687541057,2.259207284,1.104324725,-2.21468337827,-1.894422793,-2.150182595,-1.516160811,0
9,getting_up,ADL,10.3942225802,4.32607902335,6.59085124167,-0.470975781608,2.23601189704,4.74870749001,5.1906962058,1.44334321342,19.5087278612,11.05453969,19.39538903,1.8770965,7.89365567601,-2.600330671,-0.331870927,-3.899563765,-0.0948519091452,0.23991224694,-0.28027881114,0.05512153484,1.60661681856,0.925748832556,1.98911053953,0.511109118427,4.73375837945,3.006570774,4.7820992,1.271299353,-5.57110408639,-1.397376412,-6.869944774,-1.501335464,0
10,getting_up,ADL,10.1076816261,4.1384467298,6.93676212461,-1.81678925067,2.22090731457,5.21828239319,2.98576106111,1.75461263708,17.1790468194,10.12695358,15.53357486,0.796782274,7.22773835647,-6.680826795,1.487262544,-5.811944472,-0.0274070081133,-0.28032002528,0.05203319822,0.01268916052,1.26606781013,0.722345031544,1.442692798,0.556416651818,3.38497466393,1.372573797,3.613948568,1.240196391,-3.07594541995,-1.268866804,-3.769244444,-1.407229851,0
11,getting_up,ADL,9.87131747465,-5.38324393055,6.19327712735,-2.0612616201,2.06724693332,4.05814649503,3.51145426782,1.36011782895,17.378371099,1.155702822,15.5017809,1.116209051,7.53057041797,-11.31501955,0.447738351,-4.740370781,-0.013179764744,-0.16978065912,-0.11475054736,0.03916942564,1.4822925534,0.744209344595,1.55336845723,0.81489391624,5.62822662257,1.653417472,5.327786789,2.93621172,-4.23934703766,-2.706215463,-5.32018632,-1.28522884,0
12,getting_up,ADL,9.90544600418,-4.62436440767,7.20260646514,-1.02515403565,1.65024098335,3.83261507458,3.14019282297,1.56661175142,14.6427354101,0.891301899,14.22384688,1.7238153,7.21240987448,-10.14078361,1.238414463,-4.483362608,0.0230234693671,-0.20058070406,-0.11496094,0.0684582183,1.12431457347,0.594202692156,1.25405388092,0.824052060532,3.87730679905,0.819643056,4.01508972,2.775632935,-4.65281526908,-2.351377866,-5.474664993,-3.383033169,0
13,getting_up,ADL,9.95980904381,-4.46648475884,6.54960561084,-3.10797742986,2.43512518648,4.4532536027,3.03367434126,2.02989378921,15.8672800196,2.149940975,12.79902236,0.251243157,6.55074979421,-12.36151656,1.517190352,-6.793986043,-0.0475850758591,0.16970380524,0.08641944914,-0.04224981908,1.38380303007,1.18808082528,1.2119331668,0.691400344427,3.19547332609,3.116418596,2.839090364,2.407911992,-3.01361318202,-2.867966895,-2.907490914,-2.574672619,0
14,walking,ADL,10.0744693647,0.943969431078,-9.76377943825,1.28101125927,1.87641471856,0.956869210384,1.92040027707,1.61910522577,17.6092810402,2.442055626,-5.019362,4.096501864,5.73579864253,-1.466958896,-17.3940331,-2.6830206,-0.00221166184809,-0.02755505832,-0.00447300572,-0.03537452044,1.47605384135,0.608889178524,1.53752546146,0.715200896381,4.49353387031,1.750524228,4.91074597,2.153111895,-4.91315814574,-1.479989723,-5.06955431,-2.041211695,0
15,walking,ADL,10.0684226542,0.242524620608,-9.88443675782,0.402984617216,2.19572920237,1.06971940277,2.17899507563,1.5645236076,18.3557659907,2.556656505,-4.875674839,2.915310745,5.59576346765,-3.23280026,-18.35408183,-4.168458764,-0.0440788925961,0.02085349172,0.042917238,0.0084739933,1.76106672667,0.827697789353,1.76159437451,0.980111654078,5.88538666308,2.521747654,6.19702312,2.724703017,-6.00009960826,-2.218989285,-6.197547369,-2.972193274,0
16,walking,ADL,10.1094649999,0.0161955143137,-9.91742686596,0.473753484961,1.8228041594,1.2188815309,1.80495347905,1.5075584514,17.2881972254,2.913811669,-6.974914976,2.820891154,7.2967896764,-3.235977501,-17.16998145,-3.988844334,-0.0524235254523,0.0191473489,0.0504283026,0.02077305624,1.41999840266,0.892778669941,1.41349475555,1.0101191238,5.13300073833,2.224240545,4.252835672,2.837629634,-4.26937525739,-2.72540006,-5.33419613,-2.943973581,0
17,walking,ADL,10.1195992041,-0.257064131392,-9.92118532512,0.127091281706,2.7214389996,1.20304314341,2.69197876598,1.63834858756,18.4338733091,3.049542822,-3.565789362,2.795190326,3.84416131883,-3.28884872,-18.31471097,-4.346672495,-0.0175292701325,-0.00716196584,0.0166084234,0.02277586562,2.07865491885,0.941619607354,2.07666271765,1.27129046282,6.27687838435,3.074235849,7.4014085,3.348446007,-7.19542234515,-2.255036726,-6.47970062,-3.719423221,0
18,walking,ADL,9.98459130672,-0.134814044471,-9.79993232653,0.394339557941,2.05517677666,0.92643698442,1.9650215947,1.74741577842,15.48198072,2.71520964,-5.939721895,4.195792938,5.99173450537,-1.641321616,-15.30407881,-3.900389465,0.00612083017124,-0.04567461812,-0.0136113725,0.0092652129,1.3390556299,0.69592472357,1.31667726085,0.841789060011,4.01553098476,1.372294682,4.23073069,2.413700694,-4.23741869131,-1.681547863,-4.37622629,-2.097448066,0
19,walking,ADL,10.0516252329,-0.605057297078,-9.8653233702,0.229846702373,2.21678632441,1.14992089795,2.11659861711,1.5714030136,17.3178969712,1.381827098,-4.515113496,3.077015858,4.66626161351,-3.231384055,-17.15658843,-4.646049718,0.0185830219722,-0.02415482196,-0.02156217016,0.02181796526,1.66170919653,0.896115745911,1.5972149194,1.00576833546,4.3450399292,2.314832557,5.89451932,2.726204152,-5.76618000649,-2.244395941,-4.57168127,-2.529533424,0
20,walking,ADL,10.1181285037,-0.738239801863,-9.91735368182,0.0495921856667,2.18704926242,0.999731277582,2.08682406724,1.72439943107,17.0361037986,1.597564686,-5.159204735,3.521915167,5.18813291494,-2.934188543,-16.90304722,-4.086824212,-0.00816909540097,0.02481002772,0.0043547382,0.03048166048,1.6285373976,0.755552287033,1.57243068426,1.06807838427,5.08590349039,2.313939032,4.6506244,2.820939641,-4.75966655448,-1.430808848,-5.20670707,-3.607162087,0
21,walking,ADL,10.0427741813,-0.801876173333,-9.87617284988,0.329384139588,1.97103595129,0.751687337568,1.89400775087,1.53331267831,15.903047424,0.720971837,-5.798460511,3.14911791,5.84332835198,-2.618971919,-15.864011,-3.791244016,-0.0136350419061,0.02099953436,0.01192996996,0.01454650254,1.39915370957,0.561197238454,1.36019224439,0.86121743455,4.2739501428,1.392238652,3.79751277,3.007581453,-3.724461448,-1.196291123,-4.401710055,-2.057420658,0
22,walking,ADL,10.0172202713,-0.799234260471,-9.82984335784,0.480759927471,1.96205248801,0.885941974308,1.87197661853,1.57048268248,16.3598894276,1.109855635,-6.03546588,3.562047828,6.14590976811,-2.917559797,-16.28615611,-4.022896921,0.0203595607748,-0.01938037052,-0.02023950368,-0.00958949518,1.45218304272,0.674298824507,1.39490178447,0.775720411832,3.90152370845,1.562077151,3.945985742,2.611346774,-3.90437401991,-1.58033749,-4.079955325,-1.955465988,0
23,walking,ADL,10.079000965,-0.802867058725,-9.90496121102,0.472094777588,1.81382967442,0.637299631354,1.72896794898,1.59913810056,15.4444004478,0.355862673,-6.866926449,3.823733686,6.8728890184,-2.20448682,-15.40857636,-3.495127258,-0.00347415517431,0.01064038978,0.0017786082,0.02516026992,1.24561625737,0.505231418294,1.22633024162,0.754488350814,3.61547149699,0.86960449,4.44932638,2.119315362,-4.37686781725,-1.168972673,-3.90763355,-1.867483488,0
24,walking,ADL,10.0698341299,-0.805856947686,-9.87751463292,0.402500071667,1.9463192367,0.913707235128,1.84351626863,1.62483686143,16.0589245919,0.890586861,-6.147843824,3.708068728,6.15389676166,-3.399051072,-15.94767279,-4.405207655,-0.00464868235754,0.02398831346,0.0037062636,0.02564543138,1.39722898341,0.642278690087,1.34064644494,0.820834964481,4.5139928365,1.426211992,4.67914639,2.793596289,-4.56009942484,-1.350480218,-4.66084592,-2.326212477,0
